0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
0.015962	0.036595	0.078450
0.016058	0.036608	0.078350
0.016202	0.036634	0.078241
0.016380	0.036653	0.078109
0.016602	0.036655	0.077977
0.016844	0.036524	0.077858
0.017144	0.036356	0.077748
0.017578	0.036274	0.077633
0.018116	0.036180	0.077511
0.018765	0.036074	0.077386
0.019532	0.035952	0.077259
0.020407	0.035806	0.077137
0.021385	0.035629	0.077020
0.022468	0.035417	0.076913
0.023656	0.035166	0.076824
0.024947	0.034873	0.076756
0.026338	0.034537	0.076713
0.027742	0.034134	0.076695
0.029246	0.033686	0.076694
0.030973	0.033274	0.076686
0.032824	0.032802	0.076696
0.034781	0.032198	0.076740
0.036860	0.031515	0.076808
0.038496	0.030661	0.076897
0.039639	0.029649	0.077012
0.041326	0.028643	0.077168
0.043572	0.027633	0.077373
0.046285	0.026845	0.077693
0.048289	0.026224	0.078055
0.049130	0.025476	0.078373
0.049962	0.024675	0.078704
0.051530	0.023542	0.079062
0.053825	0.022057	0.079445
0.059161	0.018768	0.079913
0.064499	0.015232	0.080406
0.066766	0.013161	0.080871
0.068988	0.011003	0.081380
0.071169	0.008767	0.081932
0.073305	0.006451	0.082525
0.075403	0.004046	0.083148
0.077461	0.001554	0.083791
0.079521	-0.000951	0.084405
0.081503	-0.003541	0.085014
0.083333	-0.006293	0.085649
0.085064	-0.009116	0.086275
0.086704	-0.012006	0.086899
0.088246	-0.014960	0.087536
0.089689	-0.017963	0.088193
0.091047	-0.021020	0.088874
0.092205	-0.024015	0.089552
0.093283	-0.027077	0.090262
0.094393	-0.030331	0.091029
0.095415	-0.033663	0.091802
0.096593	-0.036849	0.092437
0.097909	-0.039864	0.092926
0.098856	-0.043136	0.093508
0.099422	-0.046631	0.094193
0.099382	-0.050483	0.095070
0.099236	-0.054306	0.095927
0.099471	-0.057748	0.096598
0.099602	-0.061230	0.097330
0.099645	-0.063794	0.097968
0.099633	-0.065432	0.098480
0.099382	-0.067337	0.098991
0.098887	-0.069386	0.099542
0.098186	-0.074280	0.100334
0.097473	-0.079998	0.101170
0.097225	-0.084785	0.101944
0.097002	-0.089370	0.102587
0.096265	-0.092607	0.103091
0.094969	-0.096012	0.103754
0.093679	-0.099076	0.104429
0.092576	-0.102243	0.104852
0.091372	-0.105437	0.105266
0.090043	-0.108366	0.105837
0.088502	-0.111511	0.106378
0.086850	-0.114602	0.106870
0.085100	-0.117624	0.107302
0.083280	-0.120543	0.107677
0.081424	-0.123349	0.107985
0.079530	-0.126045	0.108226
0.077649	-0.128505	0.108420
0.075717	-0.130872	0.108584
0.073729	-0.133166	0.108724
0.071676	-0.135390	0.108837
0.069496	-0.137673	0.108897
0.067276	-0.139867	0.108890
0.065639	-0.141493	0.108868
0.064598	-0.142572	0.108860
0.062955	-0.144071	0.108786
0.060705	-0.145961	0.108623
0.057219	-0.148523	0.108274
0.053751	-0.150911	0.107906
0.051550	-0.152348	0.107672
0.049390	-0.153687	0.107430
0.047802	-0.154680	0.107262
0.000000	0.000000	0.000000
0.000000	0.000000	0.000000
